11/3/2016
11:09:33 AM

0, CH+=0, CH-=199, Range=+/-10, y=a


Time	v0	y0
0.000000	0.818698	0.818698
0.002000	0.818698	0.818698
0.004000	0.817750	0.817750
0.006000	0.818698	0.818698
0.008000	0.817118	0.817118
0.010000	0.818382	0.818382
0.012000	0.817118	0.817118
0.014000	0.818698	0.818698
0.016000	0.818698	0.818698
0.018000	0.818066	0.818066
0.020000	0.818382	0.818382
0.022000	0.818698	0.818698
0.024000	0.816486	0.816486
0.026000	0.817434	0.817434
0.028000	0.819014	0.819014
0.030000	0.817434	0.817434
0.032000	0.818698	0.818698
0.034000	0.818066	0.818066
0.036000	0.819014	0.819014
0.038000	0.817750	0.817750
0.040000	0.817434	0.817434
0.042000	0.818066	0.818066
0.044000	0.817750	0.817750
0.046000	0.818382	0.818382
0.048000	0.817434	0.817434
0.050000	0.817750	0.817750
0.052000	0.816802	0.816802
0.054000	0.818382	0.818382
0.056000	0.818066	0.818066
0.058000	0.818066	0.818066
0.060000	0.816802	0.816802
0.062000	0.816802	0.816802
0.064000	0.818066	0.818066
0.066000	0.819646	0.819646
0.068000	0.816802	0.816802
0.070000	0.818066	0.818066
0.072000	0.818698	0.818698
0.074000	0.816802	0.816802
0.076000	0.817434	0.817434
0.078000	0.816170	0.816170
0.080000	0.816802	0.816802
0.082000	0.817750	0.817750
0.084000	0.818698	0.818698
0.086000	0.817434	0.817434
0.088000	0.816802	0.816802
0.090000	0.818066	0.818066
0.092000	0.818382	0.818382
0.094000	0.819014	0.819014
0.096000	0.819646	0.819646
0.098000	0.817750	0.817750
0.100000	0.818382	0.818382
0.102000	0.819962	0.819962
0.104000	0.817434	0.817434
0.106000	0.816802	0.816802
0.108000	0.819330	0.819330
0.110000	0.817750	0.817750
0.112000	0.818382	0.818382
0.114000	0.818698	0.818698
0.116000	0.817750	0.817750
0.118000	0.819646	0.819646
0.120000	0.819014	0.819014
0.122000	0.817750	0.817750
0.124000	0.818382	0.818382
0.126000	0.818698	0.818698
0.128000	0.818698	0.818698
0.130000	0.817750	0.817750
0.132000	0.816802	0.816802
0.134000	0.817750	0.817750
0.136000	0.818066	0.818066
0.138000	0.818698	0.818698
0.140000	0.818066	0.818066
0.142000	0.818382	0.818382
0.144000	0.818382	0.818382
0.146000	0.818698	0.818698
0.148000	0.818066	0.818066
0.150000	0.819646	0.819646
0.152000	0.816802	0.816802
0.154000	0.819330	0.819330
0.156000	0.818066	0.818066
0.158000	0.815854	0.815854
0.160000	0.818382	0.818382
0.162000	0.819014	0.819014
