11/3/2016
11:10:16 AM

0, CH+=0, CH-=199, Range=+/-10, y=a


Time	v0	y0
0.000000	0.828812	0.828812
0.002000	0.830077	0.830077
0.004000	0.829128	0.829128
0.006000	0.830393	0.830393
0.008000	0.831657	0.831657
0.010000	0.829761	0.829761
0.012000	0.830709	0.830709
0.014000	0.830393	0.830393
0.016000	0.830709	0.830709
0.018000	0.830709	0.830709
0.020000	0.831341	0.831341
0.022000	0.830393	0.830393
0.024000	0.829128	0.829128
0.026000	0.830393	0.830393
0.028000	0.829128	0.829128
0.030000	0.830393	0.830393
0.032000	0.830709	0.830709
0.034000	0.830709	0.830709
0.036000	0.830709	0.830709
0.038000	0.830393	0.830393
0.040000	0.829444	0.829444
0.042000	0.831341	0.831341
0.044000	0.831341	0.831341
0.046000	0.829444	0.829444
0.048000	0.830077	0.830077
0.050000	0.829444	0.829444
0.052000	0.830077	0.830077
0.054000	0.829444	0.829444
0.056000	0.831025	0.831025
0.058000	0.831973	0.831973
0.060000	0.829444	0.829444
0.062000	0.829444	0.829444
0.064000	0.829761	0.829761
0.066000	0.829128	0.829128
0.068000	0.829128	0.829128
0.070000	0.829761	0.829761
0.072000	0.830393	0.830393
0.074000	0.830077	0.830077
0.076000	0.831973	0.831973
0.078000	0.829444	0.829444
0.080000	0.830393	0.830393
0.082000	0.829761	0.829761
0.084000	0.830077	0.830077
0.086000	0.829444	0.829444
0.088000	0.830393	0.830393
0.090000	0.830077	0.830077
0.092000	0.830393	0.830393
0.094000	0.830393	0.830393
0.096000	0.831025	0.831025
0.098000	0.829128	0.829128
0.100000	0.830709	0.830709
0.102000	0.830709	0.830709
0.104000	0.828496	0.828496
0.106000	0.831025	0.831025
0.108000	0.831025	0.831025
0.110000	0.830393	0.830393
0.112000	0.831025	0.831025
0.114000	0.829444	0.829444
0.116000	0.830393	0.830393
0.118000	0.829128	0.829128
0.120000	0.829128	0.829128
0.122000	0.830077	0.830077
0.124000	0.831657	0.831657
0.126000	0.831657	0.831657
0.128000	0.830709	0.830709
0.130000	0.829444	0.829444
0.132000	0.830709	0.830709
0.134000	0.830709	0.830709
0.136000	0.830709	0.830709
0.138000	0.828812	0.828812
0.140000	0.829444	0.829444
0.142000	0.830077	0.830077
0.144000	0.831025	0.831025
0.146000	0.829761	0.829761
0.148000	0.830077	0.830077
0.150000	0.830709	0.830709
0.152000	0.829128	0.829128
0.154000	0.831341	0.831341
0.156000	0.829444	0.829444
0.158000	0.831973	0.831973
0.160000	0.831341	0.831341
0.162000	0.831341	0.831341
0.164000	0.829444	0.829444
0.166000	0.830709	0.830709
0.168000	0.828496	0.828496
0.170000	0.830709	0.830709
0.172000	0.830077	0.830077
0.174000	0.829761	0.829761
0.176000	0.829761	0.829761
0.178000	0.830393	0.830393
0.180000	0.829761	0.829761
0.182000	0.829444	0.829444
0.184000	0.829761	0.829761
0.186000	0.830077	0.830077
0.188000	0.829128	0.829128
0.190000	0.830709	0.830709
0.192000	0.828812	0.828812
0.194000	0.829444	0.829444
0.196000	0.830077	0.830077
0.198000	0.831341	0.831341
0.200000	0.829761	0.829761
0.202000	0.828812	0.828812
0.204000	0.830709	0.830709
0.206000	0.830393	0.830393
0.208000	0.829444	0.829444
0.210000	0.831341	0.831341
0.212000	0.830077	0.830077
0.214000	0.829444	0.829444
0.216000	0.829128	0.829128
0.218000	0.829444	0.829444
0.220000	0.831341	0.831341
0.222000	0.831025	0.831025
0.224000	0.829444	0.829444
0.226000	0.830077	0.830077
0.228000	0.830393	0.830393
0.230000	0.830709	0.830709
0.232000	0.831341	0.831341
0.234000	0.830393	0.830393
0.236000	0.829444	0.829444
0.238000	0.829761	0.829761
0.240000	0.829761	0.829761
0.242000	0.829761	0.829761
0.244000	0.830077	0.830077
0.246000	0.828496	0.828496
0.248000	0.831341	0.831341
0.250000	0.829761	0.829761
0.252000	0.830077	0.830077
0.254000	0.830709	0.830709
0.256000	0.829444	0.829444
0.258000	0.828812	0.828812
0.260000	0.830077	0.830077
0.262000	0.830393	0.830393
0.264000	0.831025	0.831025
0.266000	0.829444	0.829444
0.268000	0.830393	0.830393
0.270000	0.829444	0.829444
0.272000	0.831341	0.831341
0.274000	0.831341	0.831341
0.276000	0.831341	0.831341
0.278000	0.829128	0.829128
0.280000	0.830077	0.830077
0.282000	0.829761	0.829761
0.284000	0.828812	0.828812
0.286000	0.829761	0.829761
0.288000	0.830709	0.830709
0.290000	0.829444	0.829444
0.292000	0.830077	0.830077
0.294000	0.829128	0.829128
0.296000	0.830709	0.830709
0.298000	0.828180	0.828180
0.300000	0.828180	0.828180
0.302000	0.831341	0.831341
0.304000	0.830393	0.830393
0.306000	0.831025	0.831025
0.308000	0.831341	0.831341
0.310000	0.830077	0.830077
