file,Mouse_ID,Trial,Mass,Max,Multiples
16_1_0,16,1,0.0037458866255695206,0.050823578421578364,13.567836803883834
16_10_0,16,10,0.005172272282607595,0.0284428271728272,5.4990970348699015
16_2_0,16,2,0.004179507654022648,0.03774266933066939,9.030410386817506
16_3_0,16,3,0.006391332957423656,0.041470910089909996,6.488616751180321
16_4_0,16,4,0.005925289770110113,0.05858534965034967,9.887339172150048
16_5_0,16,5,0.005298202531998934,0.05794893706293702,10.937471097593875
16_6_0,16,6,0.005244237831935453,0.04433141058941059,8.453356237859547
16_7_0,16,7,0.005873297726663585,0.04430231768231774,7.543005606746984
16_8_0,16,8,0.00607777984977991,0.04917534965034975,8.091005410821273
16_9_0,16,9,0.005093731870923471,0.030687334665334687,6.0245288607567025
17_1_0,17,1,0.004099543178525871,0.03753770829170833,9.156558830344183
17_10_0,17,10,0.00419750859240758,0.027537100999999953,6.56034416458583
17_2_0,17,2,0.004169032523767669,0.03977154245754255,9.539753463376659
17_3_0,17,3,0.003800430904647973,0.02741043756243755,7.212455179467742
17_5_0,17,5,0.004074037002917183,0.041444076923076834,10.172729627492613
17_6_0,17,6,0.0037291048951048674,0.024299701298701293,6.516228956337242
17_7_0,17,7,0.0052300719280719684,0.047900804195804225,9.158727614949369
17_8_0,17,8,0.00415103896103895,0.0375121248751249,9.036803852531442
17_9_0,17,9,0.003149738932978225,0.03596593866666664,11.418704671075444
18_10_0,18,10,0.00439635467925287,0.026755388611388597,6.0858121246795065
18_3_0,18,3,0.003166688640700604,0.04485601798201799,14.164960017065008
18_4_0,18,4,0.0044843682988116714,0.035960998668442046,8.019189386824333
18_5_0,18,5,0.0038788121878121527,0.022722498501498434,5.858107431160537
18_6_0,18,6,0.00449844055944053,0.041093648351648304,9.135087550597559
18_7_0,18,7,0.0046035075310840836,0.027424623376623325,5.957332141078322
18_8_0,18,8,0.0025447304892178128,0.032856389610389614,12.911540043082855
19_1_0,19,1,0.006099048951048962,0.04048914585414587,6.638599916005303
19_10_0,19,10,0.0022079909210789,0.04187791200000002,18.966523639298767
19_2_0,19,2,0.0054744985014984655,0.018578443556443558,3.393633873743561
19_4_0,19,4,0.0035747083453094176,0.041304381,11.554615652546278
19_5_0,19,5,0.0018578299676355453,0.045746222777222734,24.623471240182337
19_6_0,19,6,0.004454362244541872,0.02858796903096905,6.417971296788707
19_7_0,19,7,0.005561535375410184,0.03468926773226766,6.237354505671772
19_9_0,19,9,0.0029248281718281754,0.028289644355644405,9.672241476654628
20_1_0,20,1,0.0032879480519480103,0.02857880019980019,8.69198653636517
20_10_0,20,10,0.0026763671987133798,0.03686306493506497,13.773545331442671
20_2_0,20,2,0.004409099900099861,0.05954680819180813,13.505434111497332
20_3_0,20,3,0.005184366633366626,0.046054350649350595,8.883312833807782
20_4_0,20,4,0.004106801198801181,0.03314969930069933,8.071902606431518
20_5_0,20,5,0.003969116883116821,0.02290363336663337,5.770460795462359
20_6_0,20,6,0.005468304982787049,0.018522866133866223,3.3873140200065457
20_7_0,20,7,0.004645997199870682,0.03019258841158845,6.498623893365419
20_9_0,20,9,0.004675175015397362,0.03242574625374628,6.935728854418144
